target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,604,6,0.37,1,1,go_near(1)
2,583,6,0.19,1,2,go_near(2)
3,589,6,0.19,1,3,go_near(3)
4,558,6,0.18,1,4,go_near(4)
5,608,6,0.18,1,5,go_near(5)
6,585,6,0.19,1,6,go_near(6)
7,590,6,0.19,1,7,go_near(7)
8,551,6,0.18,1,8,go_near(8)
9,599,6,0.19,1,9,go_near(9)
10,585,7,0.2,1,10,go_near(10)
11,597,7,0.21,1,11,go_near(11)
12,553,7,0.2,1,12,go_near(12)
13,599,7,0.21,1,13,go_near(13)
14,584,7,0.2,1,14,go_near(14)
15,589,7,0.2,1,15,go_near(15)
