target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,2118,6,0.56,1,1,go_near(1)
2,2109,6,0.36,1,2,go_near(2)
3,2114,6,0.36,1,3,go_near(3)
4,2116,7,0.4,0,14,go_near(14)
5,2110,6,0.36,1,5,go_near(5)
6,2105,6,0.36,0,2,go_near(2)
7,2110,6,0.35,1,7,go_near(7)
8,2106,6,0.35,1,8,go_near(8)
9,2114,6,0.38,1,9,go_near(9)
10,2109,7,0.38,0,14,go_near(14)
11,2114,4,0.34,0,-1,go_near(
12,2109,7,0.38,0,14,go_near(14)
13,2110,6,1.7,0,1,go_near(1)
14,2108,7,0.38,1,14,go_near(14)
15,2111,7,0.38,1,15,go_near(15)
16,2110,6,0.36,0,14,go_near(14
17,2111,7,0.38,1,17,go_near(17)
18,2108,6,0.36,0,1,go_near(1)
19,2107,7,0.38,1,19,go_near(19)
20,2106,7,0.38,0,14,go_near(14)
21,2106,6,0.36,0,1,go_near(1)
22,2105,6,0.35,0,14,go_near(14
23,2106,6,0.35,0,1,go_near(1)
24,2107,7,0.39,0,14,go_near(14)
25,2111,6,0.34,0,1,go_near(1)
26,2108,6,0.37,0,14,go_near(14
27,2108,6,0.37,0,1,go_near(1)
28,2112,6,0.37,0,14,go_near(14
29,2107,4,0.32,0,-1,go_near(
30,2106,7,0.38,0,14,go_near(14)
