target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,1159,6,0.41,1,1,go_near(1)
2,1150,6,0.26,1,2,go_near(2)
3,1152,6,0.25,1,3,go_near(3)
4,1153,6,0.25,1,4,go_near(4)
5,1152,6,0.25,1,5,go_near(5)
6,1157,6,0.25,1,6,go_near(6)
7,1151,6,0.23,1,7,go_near(7)
8,1151,6,0.25,1,8,go_near(8)
9,1158,6,0.25,1,9,go_near(9)
10,1147,7,0.27,1,10,go_near(10)
11,1154,7,0.27,1,11,go_near(11)
12,1150,4,0.21,0,-1,go_near(
13,1152,7,0.27,1,13,go_near(13)
14,1153,6,0.25,0,8,go_near(8)
15,1157,4,0.21,0,-1,go_near(
